pe_num,cluster,csi4_old,csi5_old,csi4_new,csi5_new,diff_csi4,diff_csi5
15,Busan,0.053392702,0.052220102,0.05339270234060999,0.05222010249504361,3.406099916003491e-10,4.950436102713063e-10
16,Busan,0.04115771,0.02560843,0.04115771009408381,0.02560842995206073,9.408381018705114e-11,-4.793927060875447e-11
17,Busan,0.022085756,0.024552709,0.02208575591290968,0.02455270905772489,-8.709032106590797e-11,5.7724890839550014e-11
18,Busan,0.044570427,0.023936081,0.04457042665108127,0.02393608092834837,-3.489187341831901e-10,-7.165163254385654e-11
19,Busan,0.008381285,0.011834569,0.00838128463395693,0.01183456917738141,-3.6604307085408294e-10,1.7738140990763984e-10
20,Busan,0.001763103,0.0246,0.00176310306138806,0.02459999999999993,6.138805999991725e-11,-6.938893903907228e-17
21,Busan,NA,NA,0.0370749883558454,0.02506063055780118,NA,NA
15,Chungcheongbuk-do,0.050835628,0.047801971,0.0508356283245935,0.04780197095621886,3.2459349791347236e-10,-4.378113843683806e-11
16,Chungcheongbuk-do,0.035993546,0.017626093,0.03599354598485778,0.01762609320714039,-1.5142220810560048e-11,2.0714039164482223e-10
17,Chungcheongbuk-do,0.022664817,0.027223751,0.02266481684053251,0.02722375132074983,-1.5946749129525095e-10,3.2074982947438713e-10
18,Chungcheongbuk-do,0.044077892,0.01963839,0.044077892325315,0.01963839031026469,3.2531499716270673e-10,3.102646924102448e-10
19,Chungcheongbuk-do,-0.001543793,0.005679846,-0.00154379332073099,0.00567984601306371,-3.207309901605976e-10,1.3063710703475895e-11
20,Chungcheongbuk-do,0.005156453,0.0269,0.00515645260184753,0.02689999999999997,-3.98152470194868e-10,-3.122502256758253e-17
21,Chungcheongbuk-do,NA,NA,0.03566162919277557,0.02171011655841265,NA,NA
15,Chungcheongnam-do,0.067175341,0.044974718,0.06717534127269632,0.04497471835358815,2.7269632385529263e-10,3.53588151813522e-10
16,Chungcheongnam-do,0.035741587,0.021162826,0.03574158723225006,0.02116282572676609,2.322500594620358e-10,-2.7323390772160394e-10
17,Chungcheongnam-do,0.025582846,0.024957628,0.02558284569351004,0.02495762766686939,-3.064899584126479e-10,-3.331306099030318e-10
18,Chungcheongnam-do,0.041010073,0.023940324,0.04101007344748407,0.02394032393704735,4.4748407063144313e-10,-6.295265003730677e-11
19,Chungcheongnam-do,0.002336086,0.006912369,0.00216139084451629,0.00686803119928813,-1.7469515548371e-4,-4.43378007118694e-5
20,Chungcheongnam-do,0.006274625,0.02761,0.00661345036892379,0.02761923108547378,3.3882536892379e-4,9.231085473779266e-6
21,Chungcheongnam-do,NA,NA,0.03273961448088567,0.02030160677730161,NA,NA
15,Daegu,0.048585278,0.042840249,0.0485852778717168,0.0428402494087294,-1.282832035043313e-10,4.0872940448855033e-10
16,Daegu,0.0375856,0.024098939,0.03758560030156448,0.02409893885953889,3.0156448171947403e-10,-1.4046111149190743e-10
17,Daegu,0.022833216,0.023621839,0.02283321589246013,0.02362183860839153,-1.0753986937062088e-10,-3.916084678756704e-10
18,Daegu,0.041499959,0.024480094,0.04149995893416567,0.024480093729581,-6.583433104223602e-11,-2.70418999692712e-10
19,Daegu,0.007411831,0.010035569,0.00741183120220961,0.01003556910569113,2.022096101672588e-10,1.056911311941855e-10
20,Daegu,0.002908434,0.0264,0.00290843445993387,0.0264,4.599338700693456e-10,0
21,Daegu,NA,NA,0.0349009442695798,0.02155827891582428,NA,NA
15,Daejeon,0.048917207,0.043928247,0.0489172069732245,0.04392824696724087,-2.677549848506544e-11,-3.275912874300957e-11
16,Daejeon,0.038239884,0.023438198,0.03823988381255495,0.02343819756540377,-1.8744505253520671e-10,-4.3459623053077046e-10
17,Daejeon,0.025501319,0.02454556,0.02550131926121381,0.02454555980085679,2.6121380752863743e-10,-1.991432123371606e-10
18,Daejeon,0.04483708,0.019948387,0.044837080185674,0.01994838681577135,1.8567399701074905e-10,-1.842286531661408e-10
19,Daejeon,0.001979908,0.006785296,0.00197990760431172,0.00678529608564738,-3.9568827988473165e-10,8.564738068067568e-11
20,Daejeon,0.003794343,0.025,0.00379434261508502,0.025,-3.8491498009773917e-10,0
21,Daejeon,NA,NA,0.03459821428571427,0.02373247033441208,NA,NA
15,Gangwon-do,0.056439219,0.038495109,0.05643921930228989,0.03849510855729711,3.022898945048702e-10,-4.42702888237001e-10
16,Gangwon-do,0.038159004,0.017979825,0.03815900365202746,0.01797982531306841,-3.479725466104533e-10,3.1306840800326974e-10
17,Gangwon-do,0.022755032,0.02330019,0.02275503159683499,0.02330018951686183,-4.031650117919394e-10,-4.831381683612079e-10
18,Gangwon-do,0.043336087,0.019343913,0.04333608701638442,0.01934391255099893,1.6384414658343616e-11,-4.4900107243339704e-10
19,Gangwon-do,3.71022e-4,0.007852155,3.710221129178937e-4,0.00785215483898313,1.1291789373110359e-10,-1.610168699761605e-10
20,Gangwon-do,0.006198181,0.028,0.00619818079368912,0.02799999999999997,-2.0631087983835616e-10,-3.122502256758253e-17
21,Gangwon-do,NA,NA,0.03679574233804359,0.02345340295601385,NA,NA
15,Gwangju,0.055336803,0.049140944,0.05533680348808174,0.04914094350611524,4.880817416896832e-10,-4.938847594782025e-10
16,Gwangju,0.036659528,0.021775848,0.0366595275689027,0.02177584750874657,-4.310972967491722e-10,-4.912534302958793e-10
17,Gwangju,0.02241705,0.026076434,0.02241705026208661,0.02607643361830041,2.620866093594465e-10,-3.816995886030128e-10
18,Gwangju,0.040758033,0.017866984,0.04075803287715229,0.01786698410598941,-1.2284771117032633e-10,1.0598941169170928e-10
