primary_cluster,secondary_cluster,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬",invalid,blank
대구광역시,동구,52170,171004,4522,111,2122,40,37,69,433,152,78,83,2171,64320
대구광역시,서구,19516,89620,1818,68,1172,28,20,22,236,79,57,46,1222,35825
대구광역시,남구,19765,73865,1784,87,977,68,24,37,199,49,17,36,1054,31749
대구광역시,북구,66469,215861,6090,155,2591,54,49,71,436,149,83,124,2700,78341
대구광역시,수성구,59379,216031,5168,132,1848,37,33,89,385,127,57,88,2163,64408
대구광역시,달서구,77951,275155,7361,180,3102,63,58,102,786,209,109,132,3454,98130
대구광역시,달성군,38882,120064,3407,117,1737,33,31,44,250,151,63,84,1435,47790
인천광역시,중구,43942,41805,2296,42,944,18,12,22,88,73,15,34,834,31791
인천광역시,동구,19195,19661,1196,32,346,11,4,6,44,48,17,19,339,12991
인천광역시,미추홀구,119287,121122,6951,154,2732,67,37,68,196,199,75,106,2353,103515
인천광역시,연수구,111446,127768,6812,120,1456,62,22,40,133,136,48,72,1989,67505
인천광역시,남동구,162476,150877,9232,215,2928,82,55,74,253,301,76,138,2946,111872
인천광역시,부평구,159280,141072,8977,194,2718,91,44,77,263,298,94,131,2785,108140
인천광역시,계양구,100532,83638,5502,124,1722,62,24,64,132,218,58,81,1707,64877
인천광역시,서구,174908,154553,9594,197,3123,79,63,81,224,263,85,130,2784,116737
인천광역시,강화군,17036,29267,988,22,513,23,11,12,34,39,32,32,464,14546
인천광역시,옹진군,5218,8797,304,16,251,13,4,5,11,18,11,15,249,3747
광주광역시,동구,60669,11036,1063,28,389,22,5,16,4,88,12,31,514,16801
광주광역시,서구,170357,26262,2961,68,1127,44,18,29,19,277,34,82,1355,45514
광주광역시,남구,124572,19927,2073,63,811,32,17,19,24,171,40,73,1032,31789
광주광역시,북구,249976,36421,4550,142,1896,65,26,45,34,350,51,104,1998,67430
광주광역시,광산구,224484,30865,4218,133,1915,79,26,31,31,480,51,165,1992,62180
대전광역시,동구,65555,70069,3603,103,1606,34,28,41,111,157,44,82,1371,49546
대전광역시,중구,66698,77459,3782,68,1412,38,19,47,98,174,45,74,1286,48437
대전광역시,서구,139877,150031,8427,173,2718,70,42,70,159,267,61,118,2860,94726
대전광역시,유성구,108701,111342,6492,126,1599,44,31,44,124,187,63,63,2211,57659
대전광역시,대덕구,54119,55159,3141,96,1258,37,18,25,96,173,45,58,1179,37501
울산광역시,중구,54075,81399,3852,75,1702,44,19,38,156,394,50,65,1302,38880
울산광역시,남구,77783,121304,5251,81,2274,58,34,43,189,444,54,86,1988,58624
울산광역시,동구,44506,47065,3427,64,1597,88,17,30,71,473,32,46,1075,29108
울산광역시,북구,64692,64597,5072,79,1806,67,15,21,113,491,44,53,1269,37413
울산광역시,울주군,56078,81956,3690,76,1855,51,24,53,156,378,54,83,1437,42724
세종특별자치시,세종특별자치시,119349,101491,6780,100,1594,50,23,48,121,181,66,88,1941,57063
경기도,수원시장안구,91842,83470,4755,122,1320,27,27,38,170,188,46,68,1809,50841
경기도,수원시권선구,121028,103154,5754,121,1981,55,42,63,187,218,48,99,2305,76481
경기도,수원시팔달구,58024,56051,3003,63,1046,30,14,24,97,128,28,39,1080,42120
경기도,수원시영통구,114418,114252,6385,131,1216,45,15,46,121,151,40,71,2263,56674
경기도,성남시수정구,86224,68806,3128,57,904,22,19,38,109,318,19,66,1296,46992
경기도,성남시중원구,80857,56072,2799,65,861,28,15,25,94,322,38,69,1123,43910
경기도,성남시분당구,140966,183094,7005,105,1007,45,31,82,229,198,42,81,2549,69059
경기도,의정부시,154851,127348,6788,152,2338,51,33,65,226,592,72,112,2401,103931
경기도,안양시만안구,82650,73147,3901,72,1111,39,17,40,145,134,46,68,1442,46271
경기도,안양시동안구,105221,102552,5574,72,1015,47,25,42,144,115,40,67,1715,46266
경기도,부천시,285227,224331,13249,351,3817,126,76,125,323,515,118,218,4519,166683
경기도,광명시,103470,87112,4746,98,1118,46,24,30,151,138,50,75,1611,48688
경기도,평택시,166032,156630,7988,166,3791,108,47,71,220,525,87,140,2963,133964
경기도,양주시,75236,63800,3162,65,1475,36,20,31,111,287,41,70,1228,51783
경기도,동두천시,28495,26434,1125,26,647,14,11,22,61,141,24,32,500,23543
경기도,안산시상록구,121488,90654,5103,165,2092,60,32,48,152,237,58,106,2059,81159
경기도,안산시단원구,103595,80605,4563,134,1715,55,29,35,136,183,41,84,1773,67711
경기도,고양시덕양구,167037,139914,10643,165,1932,89,46,86,208,340,48,81,2444,91177
경기도,고양시일산동구,96990,91849,5032,90,1120,51,12,53,120,133,24,49,1481,59650
경기도,고양시일산서구,99597,89677,4975,108,1019,43,18,47,130,147,33,63,1454,53892
경기도,과천시,21072,30934,1314,30,228,19,10,20,28,31,7,12,489,9647
경기도,의왕시,54997,53556,2717,52,636,30,22,15,77,84,17,35,867,26607
경기도,구리시,63465,58865,3023,36,878,31,18,32,107,117,28,54,1034,36593
경기도,남양주시,239179,203075,10089,186,3326,100,56,107,322,388,97,156,3437,147628
경기도,오산시,72877,55793,3352,65,1427,38,12,17,74,143,26,58,1226,53189
경기도,화성시,283324,236055,12955,194,4007,100,58,90,223,399,117,177,4328,161869
경기도,시흥시,178462,125544,7082,151,2682,47,51,50,218,285,57,136,2432,107526
경기도,군포시,94891,80277,4593,79,1185,47,24,42,118,120,35,58,1620,46795
경기도,하남시,101106,100088,4624,81,1025,39,27,35,114,156,37,39,1487,56229
경기도,파주시,157155,126763,7176,154,2566,98,45,88,211,342,84,119,2477,103982
경기도,여주시,30695,38731,1458,39,731,19,12,17,74,86,39,49,616,25511
경기도,이천시,63562,67726,2995,68,1354,34,21,36,77,154,47,64,1374,50383
경기도,용인시처인구,80188,75105,3618,78,1532,33,27,44,105,162,46,69,1413,58269
경기도,용인시수지구,113161,128995,5334,81,831,32,34,73,146,98,26,54,1899,53781
경기도,용인시기흥구,143279,135606,6267,93,1477,40,31,75,150,188,37,84,2132,72294
경기도,안성시,56723,54799,2892,87,1238,24,20,30,75,156,25,54,1257,45072
경기도,김포시,153206,136814,6905,114,2175,54,31,73,197,227,79,78,2217,89719
경기도,광주시,130220,105675,4596,99,1891,47,32,56,143,313,51,83,1667,82379
경기도,포천시,44320,47306,1903,49,1056,26,17,22,113,158,43,50,905,35933
경기도,연천군,12013,15325,604,17,402,7,5,13,64,50,22,27,355,8913
경기도,양평군,34324,45487,1662,40,633,21,12,26,80,57,34,48,641,23341
