primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
Gyeonggi-do,화성시갑,183357,122959,31998,2856,335,2295,99285
Gyeonggi-do,화성시을,151555,93407,40321,2606,184,1822,57624
Gyeonggi-do,시흥시,193157,112317,29223,2950,337,2287,93628
Gyeonggi-do,군포시,95725,67312,16293,1823,156,1289,40338
Gyeonggi-do,하남시,111702,87145,19452,1927,156,1426,51057
Gyeonggi-do,파주시,184505,120301,26026,3131,282,2233,96609
Gyeonggi-do,여주시,34563,36480,4719,624,89,532,24394
Gyeonggi-do,이천시,69247,61729,12272,1175,194,1105,45613
Gyeonggi-do,용인시처인구,94272,72736,15623,1520,227,1257,55379
Gyeonggi-do,용인시수지구,123133,107662,24709,2398,163,1525,50122
Gyeonggi-do,용인시기흥구,151811,117427,27002,2557,200,1825,65989
Gyeonggi-do,안성시,64519,51929,9541,1006,138,939,42326
Gyeonggi-do,김포시,167675,117969,25186,2614,278,1914,83198
Gyeonggi-do,광주시,144804,96824,18138,1904,206,1508,76246
Gyeonggi-do,포천시,45328,42497,6300,665,110,768,31639
Gyeonggi-do,연천군,12152,13973,2011,237,37,250,8314
Gyeonggi-do,양평군,38679,43611,5004,768,79,571,23968
Gyeonggi-do,가평군,17945,22378,2619,329,45,336,12614
Gangwon-do,춘천시,89204,83911,17805,2146,187,1371,52531
Gangwon-do,원주시,113158,100988,20200,2427,253,1687,71260
Gangwon-do,강릉시,57546,69408,10578,1236,142,972,43309
Gangwon-do,동해시,24197,28536,4072,494,83,402,17904
Gangwon-do,삼척시,16959,23059,2961,370,45,341,11470
Gangwon-do,태백시,10894,13277,1430,192,20,176,7433
Gangwon-do,정선군,10241,12195,1219,155,29,180,6558
Gangwon-do,속초시,23389,24910,3598,470,51,329,17587
Gangwon-do,고성군,7890,9835,1237,143,22,162,5104
Gangwon-do,양양군,8061,10304,1017,140,12,136,5310
Gangwon-do,인제군,9136,10099,1964,185,45,237,5717
Gangwon-do,홍천군,19301,23549,2962,335,59,418,13283
Gangwon-do,횡성군,13347,17208,1769,237,36,266,8862
Gangwon-do,영월군,11089,13400,1395,187,37,194,6948
Gangwon-do,평창군,11594,14937,1728,224,27,208,8035
Gangwon-do,화천군,6260,7734,1401,157,27,157,4278
Gangwon-do,양구군,5706,6778,1240,119,22,134,3714
Gangwon-do,철원군,11189,13232,2128,205,40,253,8309
Chungcheongbuk-do,청주시상당구,63093,53983,10648,1360,132,918,37163
Chungcheongbuk-do,청주시서원구,58100,51715,11315,1363,130,911,34878
Chungcheongbuk-do,청주시흥덕구,91724,72187,19240,1959,211,1494,55721
Chungcheongbuk-do,청주시청원구,61240,47301,11453,1223,144,901,36454
Chungcheongbuk-do,충주시,64128,62940,10909,1158,137,981,41412
Chungcheongbuk-do,제천시,39127,42170,5997,734,103,689,25155
Chungcheongbuk-do,단양군,7645,10874,1080,123,22,157,5109
Chungcheongbuk-do,영동군,12321,16217,1730,261,32,263,8730
Chungcheongbuk-do,보은군,9194,11344,1124,186,34,189,5829
Chungcheongbuk-do,옥천군,15013,16673,2045,310,57,305,9460
Chungcheongbuk-do,음성군,29604,26136,4132,514,75,481,20920
Chungcheongbuk-do,진천군,28558,21155,4205,516,81,409,17972
Chungcheongbuk-do,괴산군,10858,14080,1252,240,29,221,6848
Chungcheongbuk-do,증평군,11385,10290,1854,222,41,203,7933
Chungcheongnam-do,천안시서북구,126874,95629,26081,2651,254,1967,81887
Chungcheongnam-do,천안시동남구,82181,71043,14806,1703,196,1214,54373
Chungcheongnam-do,공주시,31344,32935,4688,510,86,570,20904
Chungcheongnam-do,보령시,27091,31871,3942,465,74,516,18938
