primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
경기도,성남시분당구,"146,248","147,997","32,522","3,090",216,"2,079","64,862"
경기도,의정부시,"167,551","113,085","24,918","2,881",294,"2,178","91,188"
경기도,안양시만안구,"86,561","64,294","14,671","1,491",134,"1,230","40,119"
경기도,안양시동안구,"118,064","90,041","23,637","2,304",189,"1,641","43,539"
경기도,부천시원미구,"145,748","99,296","23,394","2,784",240,"1,982","68,244"
경기도,부천시소사구,"86,560","58,163","11,989","1,619",139,"1,104","37,442"
경기도,부천시오정구,"59,047","36,313","7,710",955,132,655,"31,587"
경기도,광명시,"107,527","74,375","18,088","2,116",160,"1,319","40,553"
경기도,평택시,"193,007","147,716","34,980","3,186",387,"2,668","124,905"
경기도,양주시,"101,884","68,936","14,502","1,443",199,"1,311","56,966"
경기도,동두천시,"28,433","23,681","3,515",397,71,382,"20,448"
경기도,안산시상록구,"120,273","76,645","18,829","2,022",264,"1,605","68,259"
경기도,안산시단원구,"107,188","68,865","17,464","1,837",263,"1,439","58,740"
경기도,고양시덕양구,"183,659","122,394","28,962","3,898",280,"2,306","83,184"
경기도,고양시일산동구,"103,306","77,368","17,098","2,020",150,"1,401","54,105"
경기도,고양시일산서구,"101,911","74,746","16,030","2,030",156,"1,236","47,432"
경기도,과천시,"24,871","26,993","5,843",779,46,396,"9,862"
경기도,의왕시,"55,305","43,930","9,920","1,061",104,694,"22,102"
경기도,구리시,"66,685","50,865","11,064","1,166",96,881,"32,019"
경기도,남양주시,"261,539","179,144","36,668","4,038",414,"2,974","133,174"
경기도,오산시,"84,959","53,092","15,019","1,444",168,"1,123","49,643"
경기도,화성시갑,"183,357","122,959","31,998","2,856",335,"2,295","99,285"
경기도,화성시을,"151,555","93,407","40,321","2,606",184,"1,822","57,624"
경기도,시흥시,"193,157","112,317","29,223","2,950",337,"2,287","93,628"
경기도,군포시,"95,725","67,312","16,293","1,823",156,"1,289","40,338"
경기도,하남시,"111,702","87,145","19,452","1,927",156,"1,426","51,057"
경기도,파주시,"184,505","120,301","26,026","3,131",282,"2,233","96,609"
경기도,여주시,"34,563","36,480","4,719",624,89,532,"24,394"
경기도,이천시,"69,247","61,729","12,272","1,175",194,"1,105","45,613"
경기도,용인시처인구,"94,272","72,736","15,623","1,520",227,"1,257","55,379"
경기도,용인시수지구,"123,133","107,662","24,709","2,398",163,"1,525","50,122"
경기도,용인시기흥구,"151,811","117,427","27,002","2,557",200,"1,825","65,989"
경기도,안성시,"64,519","51,929","9,541","1,006",138,939,"42,326"
경기도,김포시,"167,675","117,969","25,186","2,614",278,"1,914","83,198"
경기도,광주시,"144,804","96,824","18,138","1,904",206,"1,508","76,246"
경기도,포천시,"45,328","42,497","6,300",665,110,768,"31,639"
경기도,연천군,"12,152","13,973","2,011",237,37,250,"8,314"
경기도,양평군,"38,679","43,611","5,004",768,79,571,"23,968"
경기도,가평군,"17,945","22,378","2,619",329,45,336,"12,614"
강원특별자치도,춘천시,"89,204","83,911","17,805","2,146",187,"1,371","52,531"
강원특별자치도,원주시,"113,158","100,988","20,200","2,427",253,"1,687","71,260"
강원특별자치도,강릉시,"57,546","69,408","10,578","1,236",142,972,"43,309"
강원특별자치도,동해시,"24,197","28,536","4,072",494,83,402,"17,904"
강원특별자치도,삼척시,"16,959","23,059","2,961",370,45,341,"11,470"
