pe_num,cluster,csi4,csi5
21,Jeollanam-do,0.03486120077469323,0.02513144995989669
15,Seoul,0.0423351680524651,0.0421324644682883
16,Seoul,0.043410752409911324,0.03298611111111111
17,Seoul,0.02066300589790524,0.02620916855962485
18,Seoul,0.038162560766539066,0.024804325204723313
19,Seoul,0.012540192926045034,0.011802688684238328
20,Seoul,0.006218429896761938,0.020999999999999942
21,Seoul,0.03927265910582058,0.02362914862914867
15,Ulsan,0.054500300731456605,0.04274149034038639
16,Ulsan,0.03958553472014139,0.02588103220716967
17,Ulsan,0.027424722344733664,0.02847479674796739
18,Ulsan,0.039833741388145584,0.021453681294010745
19,Ulsan,0.004581889533670179,0.009911585334178278
20,Ulsan,0.0029587282483325983,0.02489999999999995
21,Ulsan,0.035883610672120606,0.022794579556672277
